DeFi	1INCH 1SOL AAVE ACA AKRO API3 AST ATS AUCTION BADGER BAGS BAL BAND BNT BTM BTS CAN COMP COTI CRV CTX CVP CVX DAI DF DGD DHT DIA DYDX EDEN FILDA FIS FOR FORTH FRONT FTM GOF HBB IDEX IIC INJ INSUR INV IOTX JST KAVA KNC LHB LINA LINK LOOT LQTY LRC LUNA MDS MDX MEX MIR MKR MLN MONO MPL MTA NBS NEST NSURE NT O3 OCEAN OGN OPUL PEARL PNT POLS PUSH RCN REEF REN REQ RIFI RLC RSR SCRT SIS SNS SNX SPELL SRM STAKE STF STPT SUKU SUN SUSHI SWFTC SWRV SXP THETA TRB TRIBE TRX UMA UNB UNFI UNI USDC VALUE WALLET WAN WAVES WBTC WICC WNXM WOO XTM XTZ XVG YFI YFII ZEC ZEN ZRX MBOX HOTCROSS BIT QRDO ORB BOO ARV PERP CUDOS CAKE DAO XCUR VEMP PRQ DODO HUNT TOKE
SOL	1SOL AURY FRONT GARI GRT HBB INSUR LINK MPL REN SLC SOL SRM WAVES AUDIO GST GMT
波卡	ACA AKRO APN ASTR DOT FIS GLMR KMA KSM MOVR MXC OCEAN ONT PHA REEF SDN SKU POLC ERN PRQ MOOV
Web3	ACH ADX ANKR ANT API3 APN AR ARPA ATP AURORA BAND BAT BFT BICO BIX BKBT BORING C98 CERE CHAT CLV CMT CNN CNNS CRE CRO CRU CSPR CTSI CVC DASH DIA DKA DOCK EDU EFI EGCC EGT EKO ELA EM ENS FIL FIS GARI GLM GRT GTC HBAR HIVE ICP KMD LINK LOL LPT LSK MASK MASS MDS MEET NCT NKN NU OCEAN ONT OXT POKT POND PUSH RAD RIFI RLC RNDR SC SMT SNT SPELLFIRE STARLY STEEM STORJ THETA TRB UUU WOZX WTC XMX XRT XTM XYO AUDIO AIOZ BOO FX CUDOS BRWL NOIA NYM PRQ NUM SYS AKT
平台公链	ACT ADA AE AIDOC ALGO AR ARDR ATOM AVAX BNB BOX BTM BTS BTT BUT CELO CHR CKB COVA CTXC CVNT DAC DASH DATX DBC DCR DGB DOT DTA EGLD EKT ELA ELF EOS ETC ETH FIL FLOW FSN FTM FTT GLM GLMR GNX GT GXC HOT ICP ICX IMX IOST IOTA IOTX IRIS ITC JASMY KMD KSM LAMB LAT LOOM LSK LUNA MOVR MX NAS NEAR NEO NEXO NKN NT NULS OCEAN OCN OGO QTUM RUFF RVN SC SEELE SKL SOL SRN STORJ TNB TRX TT UGAS VSYS WAN WAVES WICC XEC XTM ZIG ZIL ZLA ZRX WEMIX AIOZ HOLO KAI ARV ABBC CVN CVCOIN APPC MOOV SYS STRM
NFT	AGLD ALICE AXS CHZ DFA EFI ENJ EPIK ERTHA FAIR FLOW GALA GET GMEE GMPD GODS GSC IMX IOI LOOKS LOOT LYM MAN MANA MGG MONFTER MTX NFT NGL OGN OPUL PYR RNDR SAND SLC SNS SPELLFIRE STARLY SUPER SWFTC THETA UNIC UPI VRA WALLET WAXP WHALE YGG POLC REVV HEC WILD HOTCROSS ARKN WEMIX APE ERN ONSTON TLM SMCW DOG ANML VR CUDOS CAKE CEEK XCUR VEMP DOSE BBF VOXEL SYS BOSON
游戏	AGLD ALICE AURY AXS BLZ CHZ DIO EGT ENJ EPIK ERTHA FAIR GALA GMEE GMPD GODS GSC KT MANA MGG MONFTER PYR RING RNDR SAND VRA WAXP WND XMR XMX YGG MBOX REVV WILD GF ARKN WEMIX GCOIN TLM SMCW MC VR GQ GMT RACA BRWL VISION VEMP MOOV BBF VOXEL BREED
元宇宙	ALICE AURY AXS DIO EFI ENJ EPIK ERTHA FAIR GALA GMEE GMPD GSC IOI KT LOL LOOT MANA MGG MTX OGN PYR RING RNDR SAND SLC THETA TRACE VRA WAXP XTM MBOX POLC HEC WILD WEMIX APE ERN ONSTON ARV TLM ANML VR CUDOS GQ RACA CEEK MOOV
DAO	ANT OPUL POKT SPELLFIRE STARLY YAM ZEN VEMP NUM BREED
存储	AR BHD CRU CVNT DTA FIL FIRO GNX GRS HOT JASMY LAMB MKR MTN NANO PAX RSR SC STORJ TUSD WAXP XEC HOLO VEMP AKT
